id,kode_pohon,nama_lokal,nama_latin,Group,Icon,status_iucn,diameter,tinggi,unit_PS,jenis_lahan,nama_khas_wilayah,Latitude,Longitude,elevasi,jarak_permukiman,status_adopsi,nama_pengadopsi,masa_berlaku,nama_surveyor,waktu_survei,harga_adopsi,serapan_karbon,penyedia_bibit,metode_karbon,Image1,Image2,Image3,Image4,Image5,chart_link
75,SRK0078GS,Mahang,Macaranga spp,Pohon Muda,icon/young_tree.svg,Endangered,31,20,13,Mineral,-,-0.0387479,101.404994500000,"37,1722007","0,036",,,,Mardianto,30/09/2021 10:53,50000,"929,34",-,Approach 5,media/SRK_1_75.jpg,media/SRK_2_75.jpg,media/SRK_3_75.jpg,media/SRK_4_75.jpg,adopsipohonriau/75,
76,SRK0078GS,Cempedak Hutan,Artocarpus heterophyllus,Pohon Dewasa,icon/mature_tree.svg,-,60,25,13,Mineral,-,-0.0386515,101.405042600000,"43,26453261","0,036",,,,Mardianto,30/09/2021 10:57,200000,"5524,96",-,Approach 5,media/SRK_1_76.jpg,media/SRK_2_76.jpg,media/SRK_3_76.jpg,media/SRK_4_76.jpg,adopsipohonriau/76,
77,SRK0080GS,Meranti,Shorea sp,Pohon Muda,icon/young_tree.svg,-,26,20,13,Mineral,-,-0.0387476,101.404974500000,"58,38216085","0,036",,,,Mardianto,30/09/2021 11:03,50000,"1019,85",-,Approach 5,media/SRK_1_77.jpg,media/SRK_2_77.jpg,media/SRK_3_77.jpg,media/SRK_4_77.jpg,adopsipohonriau/77,
78,SRK0081GS,Arang Arang,Diospyros spp,Pohon Muda,icon/young_tree.svg,Vulnerable,28,19,13,Mineral,-,-0.0385676,101.404922000000,"55,13929563","0,036",,,,Mardianto,30/09/2021 11:15,50000,"1339,81",-,Approach 5,media/SRK_1_78.jpg,media/SRK_2_78.jpg,media/SRK_3_78.jpg,media/SRK_4_78.jpg,adopsipohonriau/78,
79,SRK0082GS,Meranti Kuning,Shorea macroptera,Pohon Muda,icon/young_tree.svg,Least Concern,21,17,13,Mineral,-,-0.0386594,101.405107400000,"45,58777711","0,036",,,,Mardianto,30/09/2021 11:20,50000,"435,77",-,Approach 5,media/SRK_1_79.jpg,media/SRK_2_79.jpg,media/SRK_3_79.jpg,media/SRK_4_79.jpg,adopsipohonriau/79,
80,SRK0083GS,Arang Arang,Diospyros spp,Pohon Muda,icon/young_tree.svg,Vulnerable,20,16,13,Mineral,-,-0.0387059,101.405123600000,"61,38259728","0,036",,,,Mardianto,30/09/2021 11:23,50000,"587,43",-,Approach 5,media/SRK_1_80.jpg,media/SRK_2_80.jpg,media/SRK_3_80.jpg,media/SRK_4_80.jpg,adopsipohonriau/80,
81,SRK0084GS,Arang Arang,Diospyros spp,Pohon Muda,icon/young_tree.svg,Vulnerable,25,12,13,Mineral,-,-0.0386501,101.405064400000,"49,13616583","0,036",,,,Okta,30/09/2021 11:29,50000,"685,78",-,Approach 5,media/SRK_1_81.jpg,media/SRK_2_81.jpg,media/SRK_3_81.jpg,media/SRK_4_81.jpg,adopsipohonriau/81,
82,SRK0086GS,Dara Dara,Myristica spp,Pohon Muda,icon/young_tree.svg,Least Concern,17,20,13,Mineral,-,-0.0385692,101.405007800000,"64,9131098","0,036",,,,Okta,30/09/2021 11:34,50000,"370,29",-,Approach 5,media/SRK_1_82.jpg,media/SRK_2_82.jpg,media/SRK_3_82.jpg,media/SRK_4_82.jpg,adopsipohonriau/82,
83,SRK0085GS,Pasir Pasir,Guettarda speciosa,Pohon Muda,icon/young_tree.svg,Least Concern,21,20,13,Mineral,-,-0.0384449,101.405040700000,"76,68216883","0,036",,,,Mardianto,30/09/2021 11:40,50000,"732,65",-,Approach 5,media/SRK_1_83.jpg,media/SRK_2_83.jpg,media/SRK_3_83.jpg,media/SRK_4_83.jpg,adopsipohonriau/83,
84,SRK0087GS,Bentangor,Calophyllum spp,Pohon Muda,icon/young_tree.svg,Least Concern,25,20,13,Mineral,-,-0.0384298,101.405030800000,"69,04371854","0,036",,,,Mardianto,30/09/2021 11:44,50000,"907,74",-,Approach 5,media/SRK_1_84.jpg,media/SRK_2_84.jpg,media/SRK_3_84.jpg,media/SRK_4_84.jpg,adopsipohonriau/84,
85,SRK0088GS,Bentangor,Calophyllum spp,Pohon Muda,icon/young_tree.svg,Least Concern,18,20,13,Mineral,-,-0.0384254,101.405022200000,"67,72743965","0,036",,,,Marsianto,30/09/2021 11:47,50000,"478,05",-,Approach 5,media/SRK_1_85.jpg,media/SRK_2_85.jpg,media/SRK_3_85.jpg,media/SRK_4_85.jpg,adopsipohonriau/85,
86,SRK0089GS,Marsawa,Anisoptera Marginata,Pohon Muda,icon/young_tree.svg,Vulnerable,16,12,13,Mineral,-,-0.0384663,101.404833000000,"53,39066678","0,036",,,,Mardianto,30/09/2021 11:53,50000,"228,09",-,Approach 5,media/SRK_1_86.jpg,media/SRK_2_86.jpg,media/SRK_3_86.jpg,media/SRK_4_86.jpg,adopsipohonriau/86,
87,SRK0090GS,Marsawa,Anisoptera Marginata,Pohon Muda,icon/young_tree.svg,Vulnerable,15,15,13,Mineral,-,-0.0384395,101.404956500000,"52,95827151","0,036",,,,Mardianto,30/09/2021 11:57,50000,"250,02",-,Approach 5,media/SRK_1_87.jpg,media/SRK_2_87.jpg,media/SRK_3_87.jpg,media/SRK_4_87.jpg,adopsipohonriau/87,
88,SRK0091GS,Mahang,Macaranga spp,Pohon Muda,icon/young_tree.svg,Endangered,21,10,13,Mineral,-,-0.0380271,101.404886800000,"59,80834002","0,036",,,,Mardianto,30/09/2021 12:02,50000,"220,9",-,Approach 5,media/SRK_1_88.jpg,media/SRK_2_88.jpg,media/SRK_3_88.jpg,media/SRK_4_88.jpg,adopsipohonriau/88,
89,SRK0092GS,Mahang,Macaranga spp,Pohon Muda,icon/young_tree.svg,Endangered,14,8,13,Mineral,-,-0.0381271,101.404957300000,"54,43885233","0,036",,,,Mardianto,30/09/2021 12:05,50000,"80,52",-,Approach 5,media/SRK_1_89.jpg,media/SRK_2_89.jpg,media/SRK_3_89.jpg,media/SRK_4_89.jpg,adopsipohonriau/89,
90,SRK0093GS,Mahang,Macaranga spp,Pohon Muda,icon/young_tree.svg,Endangered,17,17,13,Mineral,-,-0.0381316,101.404958700000,"52,59751275","0,036",,,,Mardianto,30/09/2021 12:08,50000,"245,46",-,Approach 5,media/SRK_1_90.jpg,media/SRK_2_90.jpg,media/SRK_3_90.jpg,media/SRK_4_90.jpg,adopsipohonriau/90,
91,SRK0094GS,Mahang,Macaranga spp,Pohon Muda,icon/young_tree.svg,Endangered,33,20,13,Mineral,-,-0.0379997,101.404706600000,"64,06572318","0,036",,,,Mardianto,30/09/2021 12:22,50000,"1049,97",-,Approach 5,media/SRK_1_91.jpg,media/SRK_2_91.jpg,media/SRK_3_91.jpg,media/SRK_4_91.jpg,adopsipohonriau/91,
92,SRK0095GS,Arang Arang,Diospyros spp,Pohon Muda,icon/young_tree.svg,Vulnerable,18,15,13,Mineral,-,-0.0377705,101.405005500000,"64,94278773","0,036",,,,Mardianto,30/09/2021 14:50,50000,"449,04",-,Approach 5,media/SRK_1_92.jpg,media/SRK_2_92.jpg,media/SRK_3_92.jpg,media/SRK_4_92.jpg,adopsipohonriau/92,
