kode_pohon,nama_lokal,nama_latin,Group,Icon,status_iucn,diameter,tinggi,unit_PS,jenis_lahan,nama_khas_wilayah,Latitude,Longitude,elevasi,jarak_permukiman,status_adopsi,nama_pengadopsi,masa_berlaku,nama_surveyor,waktu_survei,harga_adopsi,serapan_karbon,penyedia_bibit,metode_karbon,Image1,Image2,Image3,Image4,chart_link
SRK0015GS,Mahang,Macaranga spp,PohonMuda,icon/young_tree.svg,Endangered,18,8,13,Mineral,-,-0.0383883,101.40473,45.054140243764,0.03542995,,,,Fahrizal,29/09/2021 09:51,50000,131.5039121,-,Approach 5,media/SRK_1_15.jpg,media/SRK_2_15.jpg,media/SRK_3_15.jpg,media/SRK_4_15.jpg,adopsipohonriau/15
SRK0016GS,Mahang,Macaranga spp,PohonMuda,icon/young_tree.svg,Endangered,30,10,13,Mineral,-,-0.0384584,101.4048345,23.522165873364,0.03551373052,,,,Fahrizal,29/09/2021 09:57,50000,443.1712768,-,Approach 5,media/SRK_1_16.jpg,media/SRK_2_16.jpg,media/SRK_3_16.jpg,media/SRK_4_16.jpg,adopsipohonriau/16
SRK0017GS,Kempas,Koompassia malaccensis,PohonMuda,icon/young_tree.svg,Conservation dependent,20,15,13,Mineral,-,-0.0384907,101.4048652,31.066535828816,0.03553550474,,,,Fahrizal,29/09/2021 10:00,50000,653.7245595,-,Approach 5,media/SRK_1_17.jpg,media/SRK_2_17.jpg,media/SRK_3_17.jpg,media/SRK_4_17.jpg,adopsipohonriau/17
SRK0018GS,Mendarahan,Myristica iners,PohonMuda,icon/young_tree.svg,Least Concern,33,25,13,Mineral,-,-0.0385898,101.404566,37.160992677126,0.03522111886,,,,Fahrizal,29/09/2021 10:08,50000,1645.049022,-,Approach 5,media/SRK_1_18.jpg,media/SRK_2_18.jpg,media/SRK_3_18.jpg,media/SRK_4_18.jpg,adopsipohonriau/18
SRK0019GS,Kempas,Koompassia malaccensis,PohonDewasa,icon/mature_tree.svg,Conservation dependent,60,30,13,Mineral,-,-0.0385222,101.40485,26.622634574788,0.03551302239,,,,Fahrizal,29/09/2021 10:14,200000,10978.44337,-,Approach 5,media/SRK_1_19.jpg,media/SRK_2_19.jpg,media/SRK_3_19.jpg,media/SRK_4_19.jpg,adopsipohonriau/19
SRK0020GS,Meranti,Shorea sp,PohonDewasa,icon/mature_tree.svg,-,65,30,13,Mineral,-,-0.0383955,101.4046643,36.958078691482,0.03536453757,,,,Fahrizl,29/09/2021 10:19,200000,9061.050186,-,Approach 5,media/SRK_1_20.jpg,media/SRK_2_20.jpg,media/SRK_3_20.jpg,media/SRK_4_20.jpg,adopsipohonriau/20
SRK0021GS,Pasir Pasir,Guettarda speciosa,PohonMuda,icon/young_tree.svg,Least Concern,27,6,13,Mineral,-,-0.038512,101.4049903,24.180142500142,0.03565153748,,,,Fahrizal,29/09/2021 10:24,50000,369.502264,-,Approach 5,media/SRK_1_21.jpg,media/SRK_2_21.jpg,media/SRK_3_21.jpg,media/SRK_4_21.jpg,adopsipohonriau/21
SRK0022GS,Kempas,Koompassia malaccensis,PohonMuda,icon/young_tree.svg,Conservation dependent,32,12,13,Mineral,-,-0.038408,101.4048563,36.926112672711,0.03554735023,,,,Fahrizal,29/09/2021 10:28,50000,1315.990744,-,Approach 5,media/SRK_1_22.jpg,media/SRK_2_22.jpg,media/SRK_3_22.jpg,media/SRK_4_22.jpg,adopsipohonriau/22
SRK0023GS,Pisang Pisang,Alphonsea spp,PohonMuda,icon/young_tree.svg,Least Concern,20,15,13,Mineral,-,-0.0384453,101.4047079,43.016848963459,0.03539433631,,,,Fahrizal,29/09/2021 10:33,50000,560.6584471,-,Approach 5,media/SRK_1_23.jpg,media/SRK_2_23.jpg,media/SRK_3_23.jpg,media/SRK_4_23.jpg,adopsipohonriau/23
SRK0024GS,Kabau,Archidendron Bubalinum,PohonMuda,icon/young_tree.svg,-,19,20,13,Mineral,-,-0.0385431,101.404905,31.981348103413,0.03556121904,,,,Fahrizal,29/09/2021 10:36,50000,394.2308239,-,Approach 5,media/SRK_1_24.jpg,media/SRK_2_24.jpg,media/SRK_3_24.jpg,media/SRK_4_24.jpg,adopsipohonriau/24
SRK0025GS,Pasir Pasir,Guettarda speciosa,PohonMuda,icon/young_tree.svg,Least Concern,32,10,13,Mineral,-,-0.0384533,101.4048942,36.784294917196,0.03557283733,,,,Fahrizal,29/09/2021 10:39,50000,847.5633589,-,Approach 5,media/SRK_1_25.jpg,media/SRK_2_25.jpg,media/SRK_3_25.jpg,media/SRK_4_25.jpg,adopsipohonriau/25
SRK0026GS,Keranji,Dialium kunstleri,PohonMuda,icon/young_tree.svg,Near Threatened,35,13,13,Mineral,-,-0.0384296,101.404924,38.979015618128,0.03560757411,,,,Fahrizal,29/09/2021 10:46,50000,1584.851114,-,Approach 5,media/SRK_1_26.jpg,media/SRK_2_26.jpg,media/SRK_3_26.jpg,media/SRK_4_26.jpg,adopsipohonriau/26
SRK0027GS,Ridan,Nephelium mangayi,PohonMuda,icon/young_tree.svg,-,18,10,13,Mineral,-,-0.0384106,101.4047717,42.498840828086,0.03546476511,,,,Fahrizal,29/09/2021 10:52,50000,176.8973981,-,Approach 5,media/SRK_1_27.jpg,media/SRK_2_27.jpg,media/SRK_3_27.jpg,media/SRK_4_27.jpg,adopsipohonriau/27
