id,kode_pohon,nama_lokal,nama_latin,Group,Icon,status_iucn,diameter,tinggi,unit_PS,jenis_lahan,nama_khas_wilayah,Latitude,Longitude,elevasi,jarak_permukiman,status_adopsi,nama_pengadopsi,masa_berlaku,nama_surveyor,waktu_survei,harga_adopsi,serapan_karbon,penyedia_bibit,metode_karbon,Image1,Image2,Image3,Image4
17,SRK0017GS,Kempas,Koompassia malaccensis,Pohon Muda,icon/young_tree.svg,Conservation dependent,20,15,13,Mineral,-,-0.0384907,101.404865200000,"31,06653583","0,036",-,-,-,Fahrizal,9/29/2021 10:00,50000,653.72,-,"Chave et al, 2014",media/SRK_3_17.jpg,media/SRK_2_17.jpg,media/SRK_1_17.jpg,media/SRK_4_17.jpg
18,SRK0018GS,Mendarahan,Myristica iners,Pohon Muda,icon/young_tree.svg,Least Concern,33,25,13,Mineral,-,-0.0385898,101.404566000000,"37,16099268","0,035",-,-,-,Fahrizal,9/29/2021 10:08,50000,1645.05,-,"Chave et al, 2014",media/SRK_3_18.jpg,media/SRK_2_18.jpg,media/SRK_1_18.jpg,media/SRK_4_18.jpg
19,SRK0019GS,Kempas,Koompassia malaccensis,Pohon Dewasa,icon/mature_tree.svg,Conservation dependent,60,30,13,Mineral,-,-0.0385222,101.404850000000,"26,62263457","0,036",-,-,-,Fahrizal,9/29/2021 10:14,200000,10978.44,-,"Chave et al, 2014",media/SRK_3_19.jpg,media/SRK_2_19.jpg,media/SRK_1_19.jpg,media/SRK_4_19.jpg
20,SRK0020GS,Meranti,Shorea sp,Pohon Dewasa,icon/mature_tree.svg,-,65,30,13,Mineral,-,-0.0383955,101.404664300000,"36,95807869","0,035",-,-,-,Fahrizl,9/29/2021 10:19,200000,9061.05,-,"Chave et al, 2014",media/SRK_3_20.jpg,media/SRK_2_20.jpg,media/SRK_1_20.jpg,media/SRK_4_20.jpg
21,SRK0021GS,Pasir Pasir,Guettarda speciosa,Pohon Muda,icon/young_tree.svg,Least Concern,27,6,13,Mineral,-,-0.038512,101.4049903,"24,1801425","0,036",-,-,-,Fahrizal,9/29/2021 10:24,50000,369.50,-,"Chave et al, 2014",media/SRK_3_21.jpg,media/SRK_2_21.jpg,media/SRK_1_21.jpg,media/SRK_4_21.jpg
22,SRK0022GS,Kempas,Koompassia malaccensis,Pohon Muda,icon/young_tree.svg,Conservation dependent,32,12,13,Mineral,-,-0.038408,101.4048563,"36,92611267","0,036",-,-,-,Fahrizal,9/29/2021 10:28,50000,1315.99,-,"Chave et al, 2014",media/SRK_3_22.jpg,media/SRK_2_22.jpg,media/SRK_1_22.jpg,media/SRK_4_22.jpg
23,SRK0023GS,Pisang Pisang,Alphonsea spp,Pohon Muda,icon/young_tree.svg,Least Concern,20,15,13,Mineral,-,-0.0384453,101.404707900000,"43,01684896","0,035",-,-,-,Fahrizal,9/29/2021 10:33,50000,560.66,-,"Chave et al, 2014",media/SRK_3_23.jpg,media/SRK_2_23.jpg,media/SRK_1_23.jpg,media/SRK_4_23.jpg
24,SRK0024GS,Kabau,Archidendron Bubalinum,Pohon Muda,icon/young_tree.svg,-,19,20,13,Mineral,-,-0.0385431,101.404905000000,"31,9813481","0,036",-,-,-,Fahrizal,9/29/2021 10:36,50000,394.23,-,"Chave et al, 2014",media/SRK_3_24.jpg,media/SRK_2_24.jpg,media/SRK_1_24.jpg,media/SRK_4_24.jpg
25,SRK0025GS,Pasir Pasir,Guettarda speciosa,Pohon Muda,icon/young_tree.svg,Least Concern,32,10,13,Mineral,-,-0.0384533,101.404894200000,"36,78429492","0,036",-,-,-,Fahrizal,9/29/2021 10:39,50000,847.56,-,"Chave et al, 2014",media/SRK_3_25.jpg,media/SRK_2_25.jpg,media/SRK_1_25.jpg,media/SRK_4_25.jpg
26,SRK0026GS,Keranji,Dialium kunstleri,Pohon Muda,icon/young_tree.svg,Near Threatened,35,13,13,Mineral,-,-0.0384296,101.404924000000,"38,97901562","0,036",-,-,-,Fahrizal,9/29/2021 10:46,50000,1584.85,-,"Chave et al, 2014",media/SRK_3_26.jpg,media/SRK_2_26.jpg,media/SRK_1_26.jpg,media/SRK_4_26.jpg
